     X      Y Temperature
 0.000  0.000 317.334
 0.000  0.015 317.334
 0.000  0.030 317.334
 0.000  0.045 317.334
 0.000  0.060 317.334
 0.000  0.075 317.334
 0.000  0.090 317.334
 0.000  0.105 317.334
 0.000  0.120 317.334
 0.000  0.135 317.334
 0.000  0.150 317.334
 0.000  0.165 317.334
 0.000  0.180 317.334
 0.000  0.195 317.334
 0.000  0.210 317.334
 0.000  0.225 317.334
 0.000  0.240 317.334
 0.000  0.255 317.334
 0.000  0.270 317.334
 0.000  0.285 317.334
 0.000  0.300 317.334
 0.000  0.315 317.334
 0.000  0.330 317.334
 0.000  0.345 317.334
 0.000  0.360 317.334
 0.000  0.375 317.334
 0.000  0.390 317.334
 0.000  0.405 317.334
 0.000  0.420 317.334
 0.000  0.435 317.334
 0.000  0.450 317.334
 0.000  0.465 317.334
 0.000  0.480 317.334
 0.000  0.495 317.334
 0.000  0.510 317.334
 0.000  0.525 317.334
 0.000  0.540 317.334
 0.000  0.555 317.334
 0.000  0.570 317.334
 0.000  0.585 317.334
 0.000  0.600 317.334
 0.000  0.615 317.334
 0.000  0.630 317.334
 0.000  0.645 317.334
 0.000  0.660 317.334
 0.000  0.675 317.334
 0.000  0.690 317.334
 0.000  0.705 317.334
 0.000  0.720 317.334
 0.000  0.735 317.334
 0.000  0.750 317.334
 0.000  0.765 317.334
 0.000  0.780 317.334
 0.000  0.795 317.334
 0.000  0.810 317.334
 0.000  0.825 317.334
 0.000  0.840 317.334
 0.000  0.855 317.334
 0.000  0.870 317.334
 0.000  0.885 317.334
 0.000  0.900 317.334
 0.000  0.915 317.334
 0.000  0.930 317.334
 0.000  0.945 317.334
 0.000  0.960 317.334
 0.000  0.975 317.334
 0.000  0.990 317.334
 0.000  1.005 317.334
 0.000  1.020 317.334
 0.000  1.035 317.334
 0.000  1.050 317.334
 0.000  1.065 317.334
 0.000  1.080 317.334
 0.000  1.095 317.334
 0.000  1.110 317.334
 0.000  1.125 317.334
 0.000  1.140 317.334
 0.000  1.155 317.334
 0.000  1.170 317.334
 0.000  1.185 317.334
 0.000  1.200 317.334
 0.000  1.215 317.334
 0.000  1.230 317.334
 0.000  1.245 317.334
 0.000  1.260 317.334
 0.000  1.275 317.334
 0.000  1.290 317.334
 0.000  1.305 317.334
 0.000  1.320 317.334
 0.000  1.335 317.334
 0.000  1.350 317.334
 0.000  1.365 317.334
 0.000  1.380 317.334
 0.000  1.395 317.334
 0.000  1.410 317.334
 0.000  1.425 317.334
 0.000  1.440 317.334
 0.000  1.455 317.334
 0.000  1.470 317.334
 0.000  1.485 317.334
 0.000  1.500 317.334
 0.000  1.515 317.334
 0.000  1.530 317.334
 0.000  1.545 317.334
 0.000  1.560 317.334
 0.000  1.575 317.334
 0.000  1.590 317.334
 0.000  1.605 317.334
 0.000  1.620 317.334
 0.000  1.635 317.334
 0.000  1.650 317.334
 0.000  1.665 317.334
 0.000  1.680 317.334
 0.000  1.695 317.334
 0.000  1.710 317.334
 0.000  1.725 317.334
 0.000  1.740 317.334
 0.000  1.755 317.334
 0.000  1.770 317.334
 0.000  1.785 317.334
 0.000  1.800 317.334
 0.000  1.815 317.334
 0.000  1.830 317.334
 0.000  1.845 317.334
 0.000  1.860 317.334
 0.000  1.875 317.334
 0.000  1.890 317.334
 0.000  1.905 317.334
 0.000  1.920 317.334
 0.000  1.935 317.334
 0.000  1.950 317.334
 0.000  1.965 317.334
 0.000  1.980 317.334
 0.000  1.995 317.334
 0.000  2.010 317.334
 0.000  2.025 317.334
 0.000  2.040 317.334
 0.000  2.055 317.334
 0.000  2.070 317.334
 0.000  2.085 317.334
 0.000  2.100 317.334
 0.000  2.115 317.334
 0.000  2.130 317.334
 0.000  2.145 317.334
 0.000  2.160 317.334
 0.000  2.175 317.334
 0.000  2.190 317.334
 0.000  2.205 317.334
 0.000  2.220 317.334
 0.000  2.235 317.334
 0.000  2.250 317.334
 0.000  2.265 317.334
 0.000  2.280 317.334
 0.000  2.295 317.334
 0.000  2.310 317.334
 0.000  2.325 317.334
 0.000  2.340 317.334
 0.000  2.355 317.334
 0.000  2.370 317.334
 0.000  2.385 317.334
 0.000  2.400 317.334
 0.000  2.415 317.334
 0.000  2.430 317.334
 0.000  2.445 317.334
 0.000  2.460 317.334
 0.000  2.475 317.334
 0.000  2.490 317.334
 0.000  2.505 317.334
 0.000  2.520 317.334
 0.000  2.535 317.334
 0.000  2.550 317.334
 0.000  2.565 317.334
 0.000  2.580 317.334
 0.000  2.595 317.334
 0.000  2.610 317.334
 0.000  2.625 317.334
 0.000  2.640 317.334
 0.000  2.655 317.334
 0.000  2.670 317.334
 0.000  2.685 317.334
 0.000  2.700 317.334
